NationalDrugCode,NdcDescription,NumberOfClaims
0,COMPOUND,22212
1000301,PROGESTERONE SUPP 100MG,2
1000401,PROGESTERONE SUPP 200MG,1
1000701,PROGESTERONE CAP,6
2034602,V-CILLIN-K   TAB 500MG,1
2035302,DARVON-N     TAB 100MG,8
2035333,DARVON-N     TAB 100MG,1
2036302,DARVOCET-N   TAB 100,9
2036303,DARVOCET-N   TAB 100,8
2036333,DARVOCET-N   TAB 100,1
2036343,DARVOCET-N   TAB 100,1
2036346,DARVOCET-N   TAB 100,2
2060440,SEROMYCIN    CAP 250MG,34
2064002,SECONAL      CAP 100MG,2
2101102,CODEINE SULF TAB 60MG,1
2103202,PHENOBARB    TAB 30MG,12
2103702,PHENOBARB    TAB 60MG,4
2106402,DOLOPHINE    TAB 5MG,1
2143301,TRULICITY    INJ 0.75/0.5,176
2143380,TRULICITY    INJ 0.75/0.5,68032
2143401,TRULICITY    INJ 1.5/0.5,158
2143480,TRULICITY    INJ 1.5/0.5,94027
2143801,PROGESTERONE INJ 50MG/ML,11
2144509,TALTZ        INJ 80MG/ML,241
2144511,TALTZ        INJ 80MG/ML,1400
2144527,TALTZ        INJ 80MG/ML,306
2197590,AXIRON       SOL 30MG/ACT,140846
2210322,DYMELOR      TAB 250MG,8
2237237,VANCOCIN HCL SOL 500/6ML,13
2254902,MORPHINE SUL TAB 10MG,1
2255002,MORPHINE SUL TAB 15MG,3
2255102,MORPHINE SUL TAB 30MG,1
2300475,PROZAC WEEKL CAP 90MG,12617
2312542,VANCOCIN HCL CAP 125MG,12
2312642,VANCOCIN HCL CAP 250MG,21
2317030,LORABID      CAP 200MG,1
2322045,SARAFEM      CAP 20MG,2
2322730,STRATTERA    CAP 10MG,35094
2322830,STRATTERA    CAP 25MG,121726
2322930,STRATTERA    CAP 40MG,226386
2323030,SYMBYAX      CAP 3-25MG,7412
2323101,SYMBYAX      CAP 6-25MG,90
2323130,SYMBYAX      CAP 6-25MG,11117
2323133,SYMBYAX      CAP 6-25MG,545
2323201,SYMBYAX      CAP 12-25MG,41
2323230,SYMBYAX      CAP 12-25MG,2336
2323233,SYMBYAX      CAP 12-25MG,47
2323301,SYMBYAX      CAP 6-50MG,61
2323330,SYMBYAX      CAP 6-50MG,5040
2323333,SYMBYAX      CAP 6-50MG,128
2323401,SYMBYAX      CAP 12-50MG,93
2323430,SYMBYAX      CAP 12-50MG,3651
2323433,SYMBYAX      CAP 12-50MG,50
2323560,CYMBALTA     CAP 20MG,275611
2323701,CYMBALTA     CAP 60MG,94
2323704,CYMBALTA     CAP 60MG,26742
2323730,CYMBALTA     CAP 60MG,594327
2323733,CYMBALTA     CAP 60MG,2779
2323734,CYMBALTA     CAP 60MG,1390
2323830,STRATTERA    CAP 18MG,48995
2323930,STRATTERA    CAP 60MG,156508
2324001,CYMBALTA     CAP 30MG,521
2324030,CYMBALTA     CAP 30MG,1391482
2324033,CYMBALTA     CAP 30MG,14852
2324090,CYMBALTA     CAP 30MG,151195
2325030,STRATTERA    CAP 80MG,145644
2325130,STRATTERA    CAP 100MG,56636
2327001,CYMBALTA     CAP 60MG,871
2327004,CYMBALTA     CAP 60MG,162353
2327030,CYMBALTA     CAP 60MG,2648210
2327033,CYMBALTA     CAP 60MG,19680
2400602,PROZAC       TAB 10MG,1
2400630,PROZAC       TAB 10MG,24
2411201,ZYPREXA      TAB 2.5MG,289
2411204,ZYPREXA      TAB 2.5MG,9792
2411230,ZYPREXA      TAB 2.5MG,58876
2411233,ZYPREXA      TAB 2.5MG,3112
2411260,ZYPREXA      TAB 2.5MG,301
2411501,ZYPREXA      TAB 5MG,57
2411504,ZYPREXA      TAB 5MG,8997
2411530,ZYPREXA      TAB 5MG,85009
2411533,ZYPREXA      TAB 5MG,3073
2411560,ZYPREXA      TAB 5MG,227
2411601,ZYPREXA      TAB 7.5MG,14
2411604,ZYPREXA      TAB 7.5MG,278
2411630,ZYPREXA      TAB 7.5MG,16706
2411633,ZYPREXA      TAB 7.5MG,818
2411660,ZYPREXA      TAB 7.5MG,80
2411701,ZYPREXA      TAB 10MG,190
2411704,ZYPREXA      TAB 10MG,7081
2411730,ZYPREXA      TAB 10MG,80037
2411733,ZYPREXA      TAB 10MG,2430
2411760,ZYPREXA      TAB 10MG,206
2416502,EVISTA       TAB 60MG,310696
2416507,EVISTA       TAB 60MG,232622
2416530,EVISTA       TAB 60MG,406185
2416534,EVISTA       TAB 60MG,63029
2416579,EVISTA       TAB 60MG,14
2418402,EVISTA       TAB 60MG,4
2441501,ZYPREXA      TAB 15MG,25
2441504,ZYPREXA      TAB 15MG,973
2441530,ZYPREXA      TAB 15MG,44049
2441533,ZYPREXA      TAB 15MG,1339
2441560,ZYPREXA      TAB 15MG,116
2442001,ZYPREXA      TAB 20MG,8
2442004,ZYPREXA      TAB 20MG,1050
2442030,ZYPREXA      TAB 20MG,63408
2442033,ZYPREXA      TAB 20MG,1489
2442060,ZYPREXA      TAB 20MG,130
2445301,ZYPREXA ZYDI TAB 5MG,213
2445385,ZYPREXA ZYDI TAB 5MG,9039
2445401,ZYPREXA ZYDI TAB 10MG,119
2445485,ZYPREXA ZYDI TAB 10MG,8271
2445501,ZYPREXA ZYDI TAB 15MG,113
2445585,ZYPREXA ZYDI TAB 15MG,4243
2445601,ZYPREXA ZYDI TAB 20MG,147
2445685,ZYPREXA ZYDI TAB 20MG,6838
2446210,CIALIS       TAB 5MG,1942
2446230,CIALIS       TAB 5MG,312750
2446234,CIALIS       TAB 5MG,77197
2446279,CIALIS       TAB 5MG,133
2446330,CIALIS       TAB 10MG,193865
2446430,CIALIS       TAB 20MG,1131622
2446534,CIALIS       TAB 2.5MG,17151
2446579,CIALIS       TAB 2.5MG,135
2475901,EFFIENT      TAB 10MG,334
2475930,EFFIENT      TAB 10MG,50570
2475977,EFFIENT      TAB 10MG,406
2476030,EFFIENT      TAB 5MG,1390
2476076,EFFIENT      TAB 5MG,6
2477090,LIVALO       TAB 1MG,12269
2477190,LIVALO       TAB 2MG,98931
2477290,LIVALO       TAB 4MG,58973
2505868,CECLOR       SUS 250/5ML,1
2510516,VANCOCIN HCL SOL 250/5ML,7
2512101,EFFIENT      TAB 5MG,11
2512130,EFFIENT      TAB 5MG,11453
2512152,EFFIENT      TAB 5MG,101
2512301,EFFIENT      TAB 10MG,74
2512330,EFFIENT      TAB 10MG,380169
2512377,EFFIENT      TAB 10MG,2059
2721701,HEPARIN SOD  INJ 10000/ML,3
2723125,TAZIDIME     INJ 1GM,1
2732110,VANCOCIN HCL INJ 1GM,1
2733511,HUMATROPE    INJ 5MG,1715
2733516,HUMATROPE    INJ 5MG,194
2735501,VANCOCIN HCL INJ 10GM,3
2750101,GEMZAR       INJ 200MG,77
2750201,GEMZAR       INJ 1GM,111
2751001,HUMALOG      INJ 100/ML,1036927
2751017,HUMALOG      INJ 100/ML,23845
2751101,HUMALOG MIX  SUS 75/25,89782
2751201,HUMALOG MIX  INJ 50/50,13976
2751501,HUMALOG      INJ 100/ML,1
2751559,HUMALOG      INJ 100/ML,6
2751601,HUMALOG      INJ 100/ML,18
2751659,HUMALOG      INJ 100/ML,23736
2759701,ZYPREXA      INJ 10MG,1314
2762301,ALIMTA       INJ 500MG,970
2763511,ZYPREXA RELP INJ 210MG,293
2763611,ZYPREXA RELP INJ 300MG,1881
2763711,ZYPREXA RELP INJ 405MG,1071
2764001,ALIMTA       INJ 100MG,474
2766901,CYRAMZA      INJ 100/10ML,54
2767801,CYRAMZA      INJ 500/50ML,40
2771201,HUMALOG KWIK INJ 200/ML,1
2771227,HUMALOG KWIK INJ 200/ML,11908
2771501,BASAGLAR     INJ 100UNIT,14
2771559,BASAGLAR     INJ 100UNIT,2891
2771601,PORTRAZZA    INJ 800/50ML,5
2772409,TALTZ        INJ 80MG/ML,8
2772411,TALTZ        INJ 80MG/ML,154
2772427,TALTZ        INJ 80MG/ML,21
2800901,GLUCAGON     KIT 1MG,6
2803001,GLUCAGON     KIT 1MG,13
2803101,GLUCAGON     KIT 1MG,154292
2808501,GLUCAGON     KIT 1MG,4
2814701,HUMATROPE    INJ 6MG,11601
2814801,HUMATROPE    INJ 12MG,15695
2814901,HUMATROPE    INJ 24MG,16148
2821001,ILETIN I REG INJ U-100,2
2821501,HUMULIN R    INJ U-100,172385
2821517,HUMULIN R    INJ U-100,8014
2821591,HUMULIN R    INJ U-100,3901
2821759,HUMULIN R    INJ U-100,2
2823901,GLUCAGON     KIT 1MG,3
2831001,ILETIN I NPH INJ U-100,2
2831501,HUMULIN N    INJ U-100,289858
2831517,HUMULIN N    INJ U-100,1844
2831591,HUMULIN N    INJ U-100,6164
2831759,HUMULIN N    INJ U-100,1
2840001,FORTEO       SOL 600/2.4,182972
2850101,HUMULIN R    INJ U-500,89363
2861501,HUMULIN U    INJ U-100,2
2871501,HUMULIN      INJ 70/30,252939
2871517,HUMULIN      INJ 70/30,1953
2871591,HUMULIN      INJ 70/30,7995
2871759,HUMULIN      INJ 70/30,1
2872501,HUMALOG PEN  INJ 100/ML,194
2872559,HUMALOG PEN  INJ 100/ML,69622
2873001,HUMULIN N PN INJ U-100,2520
2873059,HUMULIN N PN INJ U-100,48163
2877001,HUMULIN PEN  INJ 70/30,1619
2877059,HUMULIN PEN  INJ 70/30,38803
2879301,HUMALOG PEN  INJ 50/50,2
2879359,HUMALOG PEN  INJ 50/50,2666
2879459,HUMALOG PEN  INJ 75/25,28500
2879701,HUMALOG MIX  INJ 75/25KWP,2097
2879759,HUMALOG MIX  INJ 75/25KWP,141030
2879801,HUMALOG MIX  INJ 50/50KWP,1485
2879859,HUMALOG MIX  INJ 50/50KWP,26602
2879901,HUMALOG KWIK INJ 100/ML,1661
2879959,HUMALOG KWIK INJ 100/ML,707391
2880301,HUMULIN      INJ 70/30KWP,30
2880359,HUMULIN      INJ 70/30KWP,15854
2880501,HUMULIN N    INJ U-100KWP,57
2880559,HUMULIN N    INJ U-100KWP,18675
2882401,HUMULIN R    INJ U-500,16
2882427,HUMULIN R    INJ U-500,4643
2896725,VANCOMYCIN   INJ 1000MG,8
2897101,FORTEO       SOL 750/3ML,14620
2900525,CEFTAZIDIME  INJ 1GM,1
2951501,HUMULIN      INJ 50/50,1335
2956001,HUMATROPEN   MIS FOR 6MG,10
2956101,HUMATROPEN   MIS FOR 12MG,9
2956201,HUMATROPEN   MIS FOR 24MG,11
2966001,HUMAPEN      MIS MEMOIR,44
2967301,HUMAPEN      MIS LUXURA,695
3010150,TRIMOX       CAP 250MG,1
3010160,TRIMOX       CAP 250MG,18
3010955,TRIMOX       CAP 500MG,10
3010960,TRIMOX       CAP 500MG,41
3010970,TRIMOX       CAP 500MG,3
3011550,VEETIDS      TAB 250MG,11
3011575,VEETIDS      TAB 250MG,11
3011650,VEETIDS      TAB 500MG,4
3011675,VEETIDS      TAB 500MG,63
3012250,PRINCIPEN    CAP 250MG,7
3012260,PRINCIPEN    CAP 250MG,2
3013450,PRINCIPEN    CAP 500MG,20
3013460,PRINCIPEN    CAP 500MG,2
3017150,SMZ/TMP DS   TAB 800-160,2
3017360,KENALOG      LOT 0.025%,2
3020750,CORGARD      TAB 40MG,3
3021301,DAKLINZA     TAB 30MG,96
3021501,DAKLINZA     TAB 60MG,2288
3022752,"ACTIVE LIFE  MIS 32MMX10""",1
3023250,CORGARD      TAB 20MG,3
3024815,HALOG        OIN 0.1%,13
3024820,HALOG        OIN 0.1%,134
3024830,HALOG        OIN 0.1%,392
3024915,HALOG        SOL 0.1%,1
3024920,HALOG        SOL 0.1%,3
3025150,DELESTROGEN  INJ 40MG/ML,3
3025510,STOMAHESIVE  POW,1
3028350,CORZIDE      TAB 40/5,4
3029305,KENALOG-40   INJ 40MG/ML,4233
3029320,KENALOG-40   INJ 40MG/ML,2441
3029328,KENALOG-40   INJ 40MG/ML,5446
3033050,DELESTROGEN  INJ 10MG/ML,8
3033850,CAPOZIDE     TAB 25/15MG,6
3034350,DELESTROGEN  INJ 20MG/ML,9
3037113,NULOJIX      INJ 250MG,631
3041120,FUNGIZONE    CRE 3%,1
3041230,FUNGIZONE    LOT 3%,1
3042950,FLORINEF     TAB 0.1MG,4
3043730,FUNGIZONE    INJ 50MG,3
3045250,CAPOTEN      TAB 25MG,4
3046660,MYCOLOG II   OIN,1
3046665,MYCOLOG II   OIN,1
3049420,KENALOG-10   INJ 10MG/ML,591
3049620,KENALOG/ORAB PST 0.1%,7
3050162,KENALOG      AER SPRAY,2274
3050270,KENALOG      LOT 0.1%,3
3050620,KENALOG      CRE 0.1%,9
3050646,KENALOG      CRE 0.1%,10
3050649,KENALOG      CRE 0.1%,5
3050820,KENALOG      OIN 0.1%,5
3050856,KENALOG      OIN 0.1%,1
3052411,SPRYCEL      TAB 70MG,4730
3052711,SPRYCEL      TAB 20MG,1494
3052811,SPRYCEL      TAB 50MG,6791
3053750,NIACIN       TAB 500MG,24
3054320,MYCOSTATIN   LOZ 200000,2
3056630,MYCOLOG II   CRE,2
3056665,MYCOLOG II   CRE,2
3057931,MYCOSTATIN   CRE 100000,3
3058053,MYCOSTATIN   TAB 500000,2
3058860,MYCOSTATIN   SUS 100000,4
3059320,MYCOSTATIN   POW 100000,89
3061850,NATURETIN    TAB 10MG,3
3065540,SUMYCIN      CAP 250MG,3
3065560,SUMYCIN      CAP 250MG,5
3068144,VEETIDS      SOL 125/5ML,1
3068154,VEETIDS      SOL 125/5ML,4
3068244,VEETIDS      SOL 250/5ML,3
3068254,VEETIDS      SOL 250/5ML,5
3069050,TESLAC       TAB 50MG,5
3074950,CEPHALEXIN   CAP 250MG,11
3074960,CEPHALEXIN   CAP 250MG,5
3076340,SUMYCIN      CAP 500MG,5
3076350,SUMYCIN      CAP 500MG,12
3081401,DOXYCYCL HYC CAP 100MG,3
3081405,DOXYCYCL HYC CAP 100MG,2
3081550,SUMYCIN      SYP 125/5ML,14
3083050,HYDREA       CAP 500MG,2472
3085222,SPRYCEL      TAB 100MG,18872
3085522,SPRYCEL      TAB 80MG,669
3085722,SPRYCEL      TAB 140MG,1011
3087450,CEPHALEXIN   CAP 500MG,26
3087460,CEPHALEXIN   CAP 500MG,3
3089321,ELIQUIS      TAB 2.5MG,163415
3089331,ELIQUIS      TAB 2.5MG,4617
3089421,ELIQUIS      TAB 5MG,454146
3089431,ELIQUIS      TAB 5MG,4953
3089470,ELIQUIS      TAB 5MG,23
3097252,PRINCIPEN    SUS 250/5ML,2
3097261,PRINCIPEN    SUS 250/5ML,2
3120110,SMZ-TMP PED  SUS 200-40/5,1
3142711,FARXIGA      TAB 5MG,15918
3142811,FARXIGA      TAB 10MG,12443
3148215,HALOG        CRE 0.1%,15
3148220,HALOG        CRE 0.1%,466
3148230,HALOG        CRE 0.1%,460
3148240,HALOG        CRE 0.1%,1
3148320,KENALOG      CRE 0.5%,3
3149421,HALOG-E      CRE 0.1%,1
3149431,HALOG-E      CRE 0.1%,1
3161112,BARACLUDE    TAB 0.5MG,73617
3161113,BARACLUDE    TAB 0.5MG,4572
3161212,BARACLUDE    TAB 1MG,38230
3161412,BARACLUDE    SOL .05MG/ML,556
3173730,TRIMOX       SUS 125/5ML,1
3173740,TRIMOX       SUS 125/5ML,8
3173745,TRIMOX       SUS 125/5ML,23
3173830,TRIMOX       SUS 250/5ML,2
3173840,TRIMOX       SUS 250/5ML,25
3173845,TRIMOX       SUS 250/5ML,34
3196401,ZERIT        CAP 15MG,30
3196501,ZERIT        CAP 20MG,362
3196601,ZERIT        CAP 30MG,509
3196701,ZERIT        CAP 40MG,2715
3196801,ZERIT        SOL 1MG/ML,153
3218710,ORENCIA      INJ 250MG,13232
3218811,ORENCIA      INJ 125MG/ML,25637
3218831,ORENCIA      INJ 125MG/ML,23379
3218851,ORENCIA CLCK INJ 125MG/ML,1000
3220130,CEPHALEXIN   SUS 125/5ML,1
3220230,CEPHALEXIN   SUS 250/5ML,2
3220240,CEPHALEXIN   SUS 250/5ML,1
