,ndc,rxcui,ingredient_rxcui
0,0,,
1,1000301,,
2,1000401,,
3,1000701,,
4,2034602,834116,
5,2035302,827750,
6,2035333,827750,
7,2036302,849692,
8,2036303,849692,
9,2036333,849692,
10,2036343,849692,
11,2036346,849692,
12,2060440,212797,3007
13,2064002,201625,9624
14,2101102,997296,2670
15,2103202,312363,8134
16,2103702,198089,8134
17,2106402,864720,6813
18,2143301,1551300,1551291
19,2143380,1551300,1551291
20,2143401,1551306,1551291
21,2143480,1551306,1551291
22,2143601,2058877,2058846
23,2143611,2058877,2058846
24,2143801,312644,8727
25,2144509,1745108,1745099
26,2144511,1745108,1745099
27,2144527,1745108,1745099
28,2197590,1599948,10379
29,2210322,214106,
30,2237237,209264,
31,2237701,2058887,2058846
32,2237711,2058887,2058846
33,2254902,247062,
34,2255002,197994,
35,2255102,895237,
36,2300475,598032,
37,2311509,2170613,2058846
38,2312542,201848,11124
39,2312642,201849,11124
40,2317030,284243,
41,2322045,647442,
42,2322730,352317,38400
43,2322830,352319,38400
44,2322930,352320,38400
45,2323030,725080,4493
46,2323030,725080,61381
47,2323101,725064,4493
48,2323101,725064,61381
49,2323130,725064,4493
50,2323130,725064,61381
51,2323133,725064,4493
52,2323133,725064,61381
53,2323201,725076,4493
54,2323201,725076,61381
55,2323230,725076,4493
56,2323230,725076,61381
57,2323233,725076,4493
58,2323233,725076,61381
59,2323301,725072,4493
60,2323301,725072,61381
61,2323330,725072,4493
62,2323330,725072,61381
63,2323333,725072,4493
64,2323333,725072,61381
65,2323401,725068,4493
66,2323401,725068,61381
67,2323430,725068,4493
68,2323430,725068,61381
69,2323433,725068,4493
70,2323433,725068,61381
71,2323560,596928,72625
72,2323701,615186,72625
73,2323704,615186,72625
74,2323730,615186,72625
75,2323733,615186,72625
76,2323734,615186,72625
77,2323830,352318,38400
78,2323930,352321,38400
79,2324001,596932,72625
80,2324030,596932,72625
81,2324033,596932,72625
82,2324090,596932,72625
83,2325030,617947,38400
84,2325130,617945,38400
85,2327001,615186,72625
86,2327004,615186,72625
87,2327030,615186,72625
88,2327033,615186,72625
89,2400602,261282,
90,2400630,261282,
91,2411201,212405,61381
92,2411204,212405,61381
93,2411230,212405,61381
94,2411233,212405,61381
95,2411260,212405,61381
96,2411501,153046,61381
97,2411504,153046,61381
98,2411530,153046,61381
99,2411533,153046,61381
100,2411560,153046,61381
101,2411601,153047,61381
102,2411604,153047,61381
103,2411630,153047,61381
104,2411633,153047,61381
105,2411660,153047,61381
106,2411701,153048,61381
107,2411704,153048,61381
108,2411730,153048,61381
109,2411733,153048,61381
110,2411760,153048,61381
111,2416502,1490067,72143
112,2416507,1490067,72143
113,2416530,1490067,72143
114,2416534,213171,
115,2416579,213171,
116,2418230,2047247,2047232
117,2418402,1490067,72143
118,2418430,1490067,72143
119,2441501,261337,61381
120,2441504,261337,61381
121,2441530,261337,61381
122,2441533,261337,61381
123,2441560,261337,61381
124,2442001,284514,61381
125,2442004,284514,61381
126,2442030,284514,61381
127,2442033,284514,61381
128,2442060,284514,61381
129,2445301,754506,61381
130,2445385,754506,61381
131,2445401,754503,61381
132,2445485,754503,61381
133,2445501,754504,61381
134,2445585,754504,61381
135,2445601,754505,61381
136,2445685,754505,61381
137,2446210,404711,358263
138,2446230,404711,358263
139,2446234,404711,358263
140,2446279,404711,358263
141,2446330,402096,358263
142,2446430,402097,358263
143,2446534,762660,358263
144,2446579,762660,358263
145,2448354,1946836,1946825
146,2475901,855816,613391
147,2475930,855816,613391
148,2475977,855816,613391
149,2476030,855820,613391
150,2476076,855820,613391
151,2477090,861646,861634
152,2477190,861650,861634
153,2477290,861654,861634
154,2481554,1946840,1946825
155,2505868,544185,
156,2510516,209262,
157,2512101,855820,613391
158,2512130,855820,613391
159,2512152,855820,613391
160,2512301,855816,613391
161,2512330,855816,613391
162,2512377,855816,613391
163,2533754,1946844,1946825
164,2614511,2180671,4832
165,2614527,2180671,4832
166,2621654,1946848,1946825
167,2719001,1872479,1855735
168,2721701,830698,
169,2723125,206415,
170,2732110,208815,
171,2733511,207834,61148
172,2733516,207834,61148
173,2735501,208812,
174,2750101,1719013,12574
175,2750201,1719015,12574
176,2751001,865098,86009
177,2751017,865098,86009
178,2751101,752388,314684
179,2751101,752388,86009
180,2751201,731281,314684
181,2751201,731281,86009
182,2751501,,
183,2751559,847209,
184,2751601,1652646,86009
185,2751659,1652646,86009
186,2759701,545353,61381
187,2762301,1728075,68446
