,age,ageCount,label
0,76.0,6975,Case
1,86.0,2335,Case
2,51.0,6201,Case
3,33.0,597,Case
4,26.0,180,Case
5,101.0,144,Case
6,54.0,7814,Case
7,38.0,1499,Case
8,47.0,4261,Case
9,81.0,3847,Case
10,23.0,118,Case
11,106.0,24,Case
12,13.0,12,Case
13,,8,Case
14,74.0,7645,Case
15,72.0,12765,Case
16,40.0,1936,Case
17,87.0,2303,Case
18,104.0,51,Case
19,68.0,12215,Case
20,75.0,7274,Case
21,95.0,917,Case
22,43.0,2706,Case
23,18.0,33,Case
24,7.0,2,Case
25,8.0,3,Case
26,70.0,12745,Case
27,92.0,1457,Case
28,77.0,5821,Case
29,57.0,9964,Case
30,52.0,6522,Case
31,67.0,13023,Case
32,37.0,1261,Case
33,27.0,198,Case
34,20.0,69,Case
35,46.0,3726,Case
36,66.0,13236,Case
37,53.0,7206,Case
38,36.0,1041,Case
39,83.0,3143,Case
40,19.0,58,Case
41,100.0,223,Case
42,61.0,12493,Case
43,88.0,2195,Case
44,93.0,1165,Case
45,78.0,4819,Case
46,108.0,6,Case
47,14.0,8,Case
48,80.0,3884,Case
49,48.0,4948,Case
50,65.0,14059,Case
51,55.0,8812,Case
52,96.0,705,Case
53,89.0,2009,Case
54,29.0,285,Case
55,28.0,216,Case
56,21.0,60,Case
57,85.0,2738,Case
58,60.0,11753,Case
59,69.0,12521,Case
60,42.0,2506,Case
61,50.0,5733,Case
62,17.0,28,Case
63,110.0,2,Case
64,59.0,11197,Case
65,34.0,747,Case
66,44.0,2960,Case
67,84.0,2905,Case
68,94.0,1034,Case
69,102.0,103,Case
70,111.0,2,Case
71,62.0,13044,Case
72,45.0,3294,Case
73,79.0,4313,Case
74,32.0,487,Case
75,99.0,314,Case
76,5.0,1,Case
77,109.0,3,Case
78,82.0,3194,Case
79,35.0,881,Case
80,25.0,166,Case
81,10.0,2,Case
82,15.0,8,Case
83,63.0,13336,Case
84,90.0,1703,Case
85,22.0,113,Case
86,97.0,554,Case
87,107.0,12,Case
88,64.0,13550,Case
89,39.0,1753,Case
90,30.0,316,Case
91,105.0,36,Case
92,12.0,6,Case
93,71.0,12483,Case
94,56.0,9522,Case
95,49.0,5546,Case
96,31.0,367,Case
97,103.0,73,Case
98,16.0,16,Case
99,73.0,9922,Case
100,58.0,10536,Case
101,41.0,2185,Case
102,98.0,452,Case
103,91.0,1615,Case
104,24.0,149,Case
105,9.0,5,Case
106,11.0,3,Case
107,113.0,1,Case
0,46.0,55640,Baseline Control
1,53.0,64256,Baseline Control
2,19.0,21158,Baseline Control
3,66.0,48349,Baseline Control
4,83.0,5480,Baseline Control
5,36.0,40665,Baseline Control
6,100.0,563,Baseline Control
7,6.0,2433,Baseline Control
8,40.0,48983,Baseline Control
9,72.0,32526,Baseline Control
10,74.0,17882,Baseline Control
11,87.0,4278,Baseline Control
12,104.0,140,Baseline Control
13,63.0,58810,Baseline Control
14,22.0,27167,Baseline Control
15,97.0,1278,Baseline Control
16,90.0,3539,Baseline Control
17,107.0,34,Baseline Control
18,45.0,55173,Baseline Control
19,62.0,61941,Baseline Control
20,32.0,30482,Baseline Control
21,79.0,8404,Baseline Control
22,99.0,773,Baseline Control
23,109.0,18,Baseline Control
24,5.0,1968,Baseline Control
25,33.0,31908,Baseline Control
26,26.0,35063,Baseline Control
27,51.0,64099,Baseline Control
28,76.0,15094,Baseline Control
29,86.0,4397,Baseline Control
30,101.0,458,Baseline Control
31,47.0,59255,Baseline Control
32,38.0,46580,Baseline Control
33,23.0,29631,Baseline Control
34,54.0,65863,Baseline Control
35,13.0,10378,Baseline Control
36,81.0,6864,Baseline Control
37,4.0,942,Baseline Control
38,,99,Baseline Control
39,106.0,63,Baseline Control
40,61.0,63718,Baseline Control
41,78.0,9630,Baseline Control
42,93.0,2464,Baseline Control
43,14.0,11581,Baseline Control
44,88.0,3938,Baseline Control
45,108.0,19,Baseline Control
46,29.0,33823,Baseline Control
47,48.0,64187,Baseline Control
48,65.0,52408,Baseline Control
49,55.0,69010,Baseline Control
50,28.0,34319,Baseline Control
51,21.0,25333,Baseline Control
52,80.0,7145,Baseline Control
53,96.0,1596,Baseline Control
54,89.0,3802,Baseline Control
55,49.0,67570,Baseline Control
56,16.0,15304,Baseline Control
57,71.0,33960,Baseline Control
58,56.0,68983,Baseline Control
59,31.0,31988,Baseline Control
60,103.0,222,Baseline Control
61,2.0,3,Baseline Control
62,41.0,49967,Baseline Control
63,58.0,68136,Baseline Control
64,24.0,31885,Baseline Control
65,73.0,22985,Baseline Control
66,9.0,5159,Baseline Control
67,11.0,7692,Baseline Control
68,91.0,3024,Baseline Control
69,98.0,1050,Baseline Control
70,113.0,2,Baseline Control
71,59.0,67260,Baseline Control
72,34.0,34280,Baseline Control
73,44.0,53270,Baseline Control
74,84.0,5076,Baseline Control
75,94.0,2081,Baseline Control
76,102.0,307,Baseline Control
77,111.0,7,Baseline Control
78,43.0,52115,Baseline Control
79,75.0,16372,Baseline Control
80,68.0,39876,Baseline Control
81,18.0,19079,Baseline Control
82,7.0,3157,Baseline Control
83,8.0,4123,Baseline Control
84,95.0,1993,Baseline Control
85,0.0,1,Baseline Control
86,35.0,38105,Baseline Control
87,15.0,13356,Baseline Control
88,25.0,33265,Baseline Control
89,82.0,6182,Baseline Control
90,10.0,6347,Baseline Control
91,114.0,1,Baseline Control
92,50.0,65546,Baseline Control
93,69.0,37526,Baseline Control
94,42.0,52073,Baseline Control
95,17.0,16670,Baseline Control
96,60.0,65418,Baseline Control
97,85.0,4772,Baseline Control
98,110.0,9,Baseline Control
99,67.0,44170,Baseline Control
100,57.0,68565,Baseline Control
101,37.0,44456,Baseline Control
102,20.0,23109,Baseline Control
103,52.0,63488,Baseline Control
104,77.0,12210,Baseline Control
105,70.0,35837,Baseline Control
106,27.0,35135,Baseline Control
107,92.0,2902,Baseline Control
108,3.0,2,Baseline Control
109,39.0,48463,Baseline Control
110,30.0,33293,Baseline Control
111,64.0,56004,Baseline Control
112,12.0,8936,Baseline Control
113,105.0,117,Baseline Control
0,26.0,73259,Ignore Lab Value
1,33.0,60404,Ignore Lab Value
2,51.0,122077,Ignore Lab Value
3,76.0,48636,Ignore Lab Value
4,86.0,21794,Ignore Lab Value
5,101.0,3440,Ignore Lab Value
6,1.0,2,Ignore Lab Value
7,66.0,107674,Ignore Lab Value
8,46.0,104942,Ignore Lab Value
9,19.0,44051,Ignore Lab Value
10,53.0,123791,Ignore Lab Value
11,36.0,76444,Ignore Lab Value
12,6.0,9822,Ignore Lab Value
13,83.0,25421,Ignore Lab Value
14,100.0,4067,Ignore Lab Value
15,72.0,83329,Ignore Lab Value
16,40.0,92992,Ignore Lab Value
17,74.0,49009,Ignore Lab Value
18,104.0,1194,Ignore Lab Value
19,87.0,21757,Ignore Lab Value
20,43.0,97929,Ignore Lab Value
21,75.0,48271,Ignore Lab Value
22,68.0,90840,Ignore Lab Value
23,18.0,39707,Ignore Lab Value
24,8.0,14302,Ignore Lab Value
25,95.0,12283,Ignore Lab Value
26,7.0,11838,Ignore Lab Value
27,0.0,2,Ignore Lab Value
28,50.0,124610,Ignore Lab Value
29,42.0,97815,Ignore Lab Value
30,17.0,36004,Ignore Lab Value
31,60.0,135108,Ignore Lab Value
32,69.0,88306,Ignore Lab Value
33,85.0,23627,Ignore Lab Value
34,110.0,67,Ignore Lab Value
35,59.0,137481,Ignore Lab Value
36,34.0,64521,Ignore Lab Value
37,44.0,100502,Ignore Lab Value
38,102.0,2383,Ignore Lab Value
39,84.0,25001,Ignore Lab Value
40,94.0,13515,Ignore Lab Value
41,111.0,48,Ignore Lab Value
42,30.0,66203,Ignore Lab Value
43,12.0,25581,Ignore Lab Value
44,39.0,91443,Ignore Lab Value
45,64.0,121378,Ignore Lab Value
46,105.0,834,Ignore Lab Value
