,case,control,exposure,nonexposure,fishersExact,ORconfInt
0,t2dCaseEmerge,t2dControlEmerge,depressionCase,depressionControl,"(1.2203068653744586, 3.469406152592745e-290)","(1.2075139426075414, 1.2332353218748955)"
1,t2dCaseEmerge,t2dControlEmerge,depressionCaseMultipleDx,depressionControl,"(1.1852700827432638, 2.8175814977628456e-152)","(1.1705848382927921, 1.2001395568176967)"
2,t2dCaseEmerge,t2dControlEmergeNoLab,depressionCase,depressionControl,"(1.1961985107155952, 2.1846087358768673e-239)","(1.1837495051907225, 1.208778437299256)"
3,t2dCaseEmerge,t2dControlEmergeNoLab,depressionCaseMultipleDx,depressionControl,"(1.162344762321368, 8.981804324325636e-122)","(1.1480468779484523, 1.176820713898219)"
4,t2dCaseEmerge,t2dControlEmergeSingleVisit,depressionCase,depressionControl,"(1.2247083113233546, 1.491036013069449e-300)","(1.211869759198065, 1.2376828751111324)"
5,t2dCaseEmerge,t2dControlEmergeSingleVisit,depressionCaseMultipleDx,depressionControl,"(1.1897067904942045, 7.292398899903073e-159)","(1.1749669185797569, 1.2046315729968722)"
6,t2dCaseEmerge,t2dControlEmergeNoScreening,depressionCase,depressionControl,"(1.2164933395791464, 2.0074358542811054e-282)","(1.2037662332150392, 1.2293550063187904)"
7,t2dCaseEmerge,t2dControlEmergeNoScreening,depressionCaseMultipleDx,depressionControl,"(1.1819997531113597, 4.585601558225638e-148)","(1.1673840318001278, 1.1967984641702891)"
8,t2dCaseEmerge,t2dControlEmergeNoFamilyHx,depressionCase,depressionControl,"(1.2185140896750963, 1.4580470791989522e-286)","(1.2057524713737977, 1.2314107762474813)"
9,t2dCaseEmerge,t2dControlEmergeNoFamilyHx,depressionCaseMultipleDx,depressionControl,"(1.183585833930371, 4.349619302852478e-150)","(1.1689355972326005, 1.1984196816293033)"
