,control,samp_size,OR,p_value,ci95_lower,ci95_upper,p < .05
0,t2dControlEmergeIgnoreLabValue,2000,1.3118329125881902,0.0027905929292919964,1.1003571647317283,1.5639518201066827,True
1,t2dControlEmergeIgnoreLabValue,2000,1.1542881685994388,0.11305297652613266,0.9711184105890768,1.372006916602919,False
2,t2dControlEmergeIgnoreLabValue,2000,1.2366538013054684,0.017726560577737062,1.0405603811699533,1.4697009918480528,True
3,t2dControlEmergeIgnoreLabValue,2000,1.2042550410144122,0.034743749773607085,1.0167146713628754,1.4263885873355553,True
4,t2dControlEmergeIgnoreLabValue,2000,1.084870485709932,0.3663049653375111,0.916438687651056,1.2842582778572498,False
5,t2dControlEmergeIgnoreLabValue,2000,1.0847816871555744,0.3787550515953676,0.9128102719641977,1.289152132628773,False
6,t2dControlEmergeIgnoreLabValue,2000,1.1826072924009887,0.06375285224715843,0.9943772012984741,1.406468296149323,False
7,t2dControlEmergeIgnoreLabValue,2000,1.0811530221385444,0.4014624370336355,0.9092306499093832,1.2855834296784912,False
8,t2dControlEmergeIgnoreLabValue,2000,1.1858643933386201,0.055615183702819614,0.9996207659471462,1.4068078688380574,False
9,t2dControlEmergeIgnoreLabValue,2000,1.3387802152354302,0.0009529564126132273,1.1279565182027804,1.5890084730939997,True
10,t2dControlEmergeIgnoreLabValue,2000,1.2514990390640883,0.010798667354832996,1.0559351967570378,1.4832821650311134,True
11,t2dControlEmergeIgnoreLabValue,2000,1.3203544035001007,0.002135506174901731,1.107997958765145,1.5734106160132646,True
12,t2dControlEmergeIgnoreLabValue,2000,1.423447132853123,6.291705211835842e-05,1.1986777958937702,1.69036395515859,True
13,t2dControlEmergeIgnoreLabValue,2000,1.2382659345662177,0.016356599307154412,1.0429830380042275,1.4701126181698585,True
14,t2dControlEmergeIgnoreLabValue,2000,1.0519443156935764,0.5964447904008117,0.8848123073584532,1.2506458534959446,False
15,t2dControlEmergeIgnoreLabValue,2000,1.1559646740013387,0.11648442856561225,0.9693487598592017,1.378507285379015,False
16,t2dControlEmergeIgnoreLabValue,2000,1.2985203772605347,0.0031201077754027143,1.0942748303930179,1.5408881967569736,True
17,t2dControlEmergeIgnoreLabValue,2000,1.2535637228686816,0.014459711645157837,1.0489975954396045,1.4980225065566994,True
18,t2dControlEmergeIgnoreLabValue,2000,1.2566537484279958,0.010102407655386256,1.058620239479897,1.4917329034007356,True
19,t2dControlEmergeIgnoreLabValue,2000,1.1777281267455442,0.0705278902829489,0.9904094343088617,1.4004748869294525,False
20,t2dControlEmergeIgnoreLabValue,2000,1.1573932450047824,0.10009683502063137,0.9765761598253986,1.3716893558226924,False
21,t2dControlEmergeIgnoreLabValue,2000,1.0197743352857194,0.8595207406987787,0.8573730670104777,1.2129372089253199,False
22,t2dControlEmergeIgnoreLabValue,2000,1.1407098397563236,0.1466318571318506,0.9598478399555821,1.3556512650766745,False
23,t2dControlEmergeIgnoreLabValue,2000,1.0804707539103757,0.4033720212042987,0.909295976495272,1.2838691473762676,False
24,t2dControlEmergeIgnoreLabValue,2000,1.2928952921519594,0.0041744506810794495,1.086947969442734,1.5378640776390609,True
25,t2dControlEmergeIgnoreLabValue,2000,1.1831501831501832,0.06339182990408819,0.994596113409763,1.4074500563743815,False
26,t2dControlEmergeIgnoreLabValue,2000,1.3193277694271033,0.0021662891291333673,1.1074139928414086,1.5717931816225177,True
27,t2dControlEmergeIgnoreLabValue,2000,1.2094391611961595,0.036567770537464975,1.0154877681078145,1.4404339772210526,True
28,t2dControlEmergeIgnoreLabValue,2000,1.0264865580717786,0.7954462706846894,0.8665358570707542,1.2159619769964272,False
29,t2dControlEmergeIgnoreLabValue,2000,1.2545886308618484,0.011786959076468963,1.0544485391945932,1.492716405003559,True
30,t2dControlEmergeIgnoreLabValue,2000,1.247988537418715,0.016461175894237554,1.0444983966655619,1.4911228150283045,True
31,t2dControlEmergeIgnoreLabValue,2000,1.125675242605583,0.19782522844287592,0.9456692242366901,1.339945003326011,False
32,t2dControlEmergeIgnoreLabValue,2000,1.1354096140825998,0.16744748533786266,0.9533564639620695,1.3522276718968036,False
33,t2dControlEmergeIgnoreLabValue,2000,1.1576397185716183,0.10454552003834863,0.9744915537593533,1.3752091671237965,False
34,t2dControlEmergeIgnoreLabValue,2000,1.2012649717586705,0.04229498264361277,1.0099912458933393,1.4287624157553862,True
35,t2dControlEmergeIgnoreLabValue,2000,1.335189370968631,0.0010874030506304736,1.1245753737022783,1.5852478171192528,True
36,t2dControlEmergeIgnoreLabValue,2000,1.0937577706847985,0.33162258798731226,0.9199155784542402,1.3004520077196267,False
37,t2dControlEmergeIgnoreLabValue,2000,1.2367772171328728,0.014765932649113574,1.0453554536578635,1.4632514514240689,True
38,t2dControlEmergeIgnoreLabValue,2000,1.1799517059840219,0.06555327136501564,0.9933101478618792,1.4016629463129224,False
39,t2dControlEmergeIgnoreLabValue,2000,1.0397755861429814,0.6910687188162548,0.8744861501712844,1.2363069092943542,False
40,t2dControlEmergeIgnoreLabValue,2000,1.1173091703410056,0.22088891732567517,0.9411911061569146,1.3263828928701933,False
41,t2dControlEmergeIgnoreLabValue,2000,1.2277747694317664,0.022229111138739266,1.0328903868443489,1.459429677778953,True
42,t2dControlEmergeIgnoreLabValue,2000,1.1571881521498582,0.10500805405074726,0.9743364535872863,1.374355249201442,False
43,t2dControlEmergeIgnoreLabValue,2000,1.0715163141333064,0.47088081146803673,0.8979382248801155,1.2786483297412996,False
44,t2dControlEmergeIgnoreLabValue,2000,1.3584980329166376,0.0007110053827792237,1.1396081935310443,1.6194310605297515,True
45,t2dControlEmergeIgnoreLabValue,2000,1.42602384402202,4.552671291376384e-05,1.2035911584626156,1.6895637604357687,True
46,t2dControlEmergeIgnoreLabValue,2000,1.1470579224392008,0.1266827161474891,0.9664961358165686,1.3613524448485232,False
47,t2dControlEmergeIgnoreLabValue,2000,1.0572569035466561,0.5621736968100409,0.8876748608039482,1.2592360214918146,False
48,t2dControlEmergeIgnoreLabValue,2000,1.4243943629928115,4.26547033872015e-05,1.2036170181274195,1.6856685064841008,True
49,t2dControlEmergeIgnoreLabValue,2000,1.1819515890109151,0.055194029090413946,0.9998450169746037,1.3972261050943577,False
50,t2dControlEmergeIgnoreLabValue,2000,1.074218234595593,0.44846423679553893,0.9018907610381846,1.2794729310779778,False
51,t2dControlEmergeIgnoreLabValue,2000,1.2699749308992736,0.006976058995718501,1.0701340074686887,1.5071349138110672,True
52,t2dControlEmergeIgnoreLabValue,2000,1.2405560643339761,0.014957195532620648,1.0457209369633207,1.471692202343068,True
53,t2dControlEmergeIgnoreLabValue,2000,1.1289576394304102,0.17728319490989602,0.9517215437580391,1.3391998531372102,False
54,t2dControlEmergeIgnoreLabValue,2000,1.058442303879108,0.5582679506464464,0.8871145008955975,1.2628585256017135,False
55,t2dControlEmergeIgnoreLabValue,2000,1.1203544230250462,0.21531676353818857,0.9417775824015702,1.3327924306618033,False
56,t2dControlEmergeIgnoreLabValue,2000,1.2825142915847125,0.004808763712715573,1.0812339176436532,1.5212646230185447,True
57,t2dControlEmergeIgnoreLabValue,2000,1.032232070910556,0.7553011615245495,0.8669004542953218,1.2290950396172222,False
58,t2dControlEmergeIgnoreLabValue,2000,0.9921008718662677,0.9644883137960957,0.8332076942956982,1.1812950680799905,False
59,t2dControlEmergeIgnoreLabValue,2000,1.2222464320732105,0.026661643064471205,1.0268055763617236,1.4548872494527874,True
60,t2dControlEmergeIgnoreLabValue,2000,1.2750241159206124,0.0049844203622890415,1.0784962348816018,1.5073640904806762,True
61,t2dControlEmergeIgnoreLabValue,2000,1.110325214214791,0.2524947824814483,0.9342508689831209,1.319583553251576,False
62,t2dControlEmergeIgnoreLabValue,2000,1.3164523129884431,0.0016718826336184064,1.1111021830710937,1.559754556131341,True
63,t2dControlEmergeIgnoreLabValue,2000,1.1685661969991004,0.08539025872124092,0.9827373196938886,1.3895340386526605,False
64,t2dControlEmergeIgnoreLabValue,2000,1.2017132470789949,0.04443600889289501,1.0082900283248504,1.4322414063782423,True
65,t2dControlEmergeIgnoreLabValue,2000,1.4587040235223423,1.7615570532516393e-05,1.2287715638567136,1.7316623291328004,True
66,t2dControlEmergeIgnoreLabValue,2000,1.1349503561300207,0.1546216657883711,0.9582215402919367,1.3442740083751596,False
67,t2dControlEmergeIgnoreLabValue,2000,1.2409870830923462,0.016818243136609148,1.0427109621539143,1.4769662891246398,True
68,t2dControlEmergeIgnoreLabValue,2000,1.1645054718149908,0.08834397502411014,0.9809139554639468,1.3824586614691061,False
69,t2dControlEmergeIgnoreLabValue,2000,1.3218283582089552,0.0022573792720005856,1.1074240669544206,1.5777426739248346,True
70,t2dControlEmergeIgnoreLabValue,2000,1.0349101064758248,0.7268975232488764,0.8721034074625402,1.2281100146163653,False
71,t2dControlEmergeIgnoreLabValue,2000,1.4221066064592127,0.00012343748261465465,1.1895926959535048,1.700066927961353,True
72,t2dControlEmergeIgnoreLabValue,2000,1.1800961058310206,0.062255934896618285,0.9953290194928182,1.399162278727862,False
73,t2dControlEmergeIgnoreLabValue,2000,1.2218538610943674,0.023857063081514654,1.0300397145870086,1.4493876660569338,True
74,t2dControlEmergeIgnoreLabValue,2000,1.1415251415251415,0.14554223095943836,0.9600825287366825,1.35725795411426,False
75,t2dControlEmergeIgnoreLabValue,2000,1.0585480093676816,0.5421175244919743,0.892398339331925,1.2556319736936488,False
76,t2dControlEmergeIgnoreLabValue,2000,1.0608576053749437,0.5344857128248431,0.8914503579863343,1.2624582499737038,False
77,t2dControlEmergeIgnoreLabValue,2000,1.2034503518860677,0.03702648324107467,1.0146016338064803,1.4274496523538405,True
78,t2dControlEmergeIgnoreLabValue,2000,1.1831867839062085,0.06023054132015365,0.9965899802851776,1.4047210922286408,False
79,t2dControlEmergeIgnoreLabValue,2000,1.1848178312243565,0.056250823540639774,0.999184536629057,1.4049389694551877,False
80,t2dControlEmergeIgnoreLabValue,2000,1.221146467516901,0.02861226625582351,1.0245090724534376,1.4555251243973502,True
81,t2dControlEmergeIgnoreLabValue,2000,1.1545453621140178,0.10776430563492397,0.9734339059396436,1.3693533634338368,False
82,t2dControlEmergeIgnoreLabValue,2000,1.240763802407638,0.014033792101631897,1.0473794016709532,1.4698540098354078,True
83,t2dControlEmergeIgnoreLabValue,2000,1.3607908359127678,0.0004548197169162918,1.147246390242098,1.6140837006367925,True
84,t2dControlEmergeIgnoreLabValue,2000,1.1945471808633243,0.04803515346634059,1.0051931591803778,1.4195709096070939,True
85,t2dControlEmergeIgnoreLabValue,2000,1.0804707539103757,0.4033720212042987,0.909295976495272,1.2838691473762676,False
86,t2dControlEmergeIgnoreLabValue,2000,1.1431916578224761,0.14334570114814985,0.9605655723693879,1.3605392532352112,False
87,t2dControlEmergeIgnoreLabValue,2000,1.1562946647993568,0.10593042425067392,0.9740303213852669,1.3726650212920979,False
88,t2dControlEmergeIgnoreLabValue,2000,1.1554874098388979,0.11700525054303543,0.9691931666324411,1.3775903506783076,False
89,t2dControlEmergeIgnoreLabValue,2000,1.1106398672321594,0.2518542863296104,0.9342967166286021,1.3202667768507335,False
90,t2dControlEmergeIgnoreLabValue,2000,1.119317503877819,0.217193331362742,0.9415753899837301,1.3306121717018526,False
91,t2dControlEmergeIgnoreLabValue,2000,1.1766873643293452,0.07129051177583484,0.9900014454185363,1.398576900851883,False
92,t2dControlEmergeIgnoreLabValue,2000,1.081245536840575,0.41453454546173796,0.905136739279476,1.291619111459673,False
93,t2dControlEmergeIgnoreLabValue,2000,1.125675242605583,0.19782522844287592,0.9456692242366901,1.339945003326011,False
94,t2dControlEmergeIgnoreLabValue,2000,1.2472824687033126,0.011407176345205588,1.053746216835197,1.4763645476299148,True
95,t2dControlEmergeIgnoreLabValue,2000,1.2466793168880455,0.018957072605741192,1.040313794894643,1.4939812648681123,True
96,t2dControlEmergeIgnoreLabValue,2000,1.2825809056045212,0.005906556169084556,1.0769172219813539,1.5275210998991673,True
97,t2dControlEmergeIgnoreLabValue,2000,1.2740673278013896,0.00577646471276151,1.0752118766983,1.5097001725423167,True
98,t2dControlEmergeIgnoreLabValue,2000,1.310609334485739,0.0026353957606787453,1.1010807800022504,1.5600098183873838,True
99,t2dControlEmergeIgnoreLabValue,2000,1.202340107328231,0.044135995735833225,1.008562669202344,1.4333484451029503,True
100,t2dControlEmergeIgnoreLabValue,2000,1.1994813484939157,0.04313668832492948,1.0092083026851275,1.425627892236706,True
