,control,samp_size,OR,p_value,ci95_lower,ci95_upper
0,t2dControlEmergeIgnoreLab,1000,1.6165099268547545,0.00022607673708669585,1.2550190675227124,2.0821232212654617
1,t2dControlEmergeIgnoreLab,1000,1.9833986775875678,5.739289298876987e-07,1.5141010922318756,2.598155654492887
2,t2dControlEmergeIgnoreLab,1000,1.8345283151931169,5.321390891197859e-06,1.4126009479857513,2.382480447888843
3,t2dControlEmergeIgnoreLab,1000,2.115141743920462,4.654618554724121e-08,1.6121109077415368,2.7751344993642144
4,t2dControlEmergeIgnoreLab,1000,1.727056019070322,6.401767237711959e-05,1.3227754196249786,2.2548971267191096
5,t2dControlEmergeIgnoreLab,1000,1.9643998677394467,1.947949293690894e-06,1.485598002722492,2.597517520421428
6,t2dControlEmergeIgnoreLab,1000,1.7458405048766494,3.0298133513206527e-05,1.3448352033509001,2.2664182651327236
7,t2dControlEmergeIgnoreLab,1000,1.6235827664399094,0.0003548624900305763,1.2474271345361945,2.113166313686745
8,t2dControlEmergeIgnoreLab,1000,1.6940427993059572,0.00022743024760585827,1.2825666632242505,2.237529703653773
9,t2dControlEmergeIgnoreLab,1000,1.989010989010989,2.2490494185743945e-07,1.5307036891482837,2.584539870422449
10,t2dControlEmergeIgnoreLab,1000,2.4393939393939394,1.939240191300387e-10,1.842335454713053,3.229945326367679
11,t2dControlEmergeIgnoreLab,1000,1.4006930907515702,0.015323771083074991,1.073333429387009,1.827895303325893
12,t2dControlEmergeIgnoreLab,1000,1.6934812760055478,5.6838784145010805e-05,1.3120798741425768,2.1857501884597457
13,t2dControlEmergeIgnoreLab,1000,1.845788437029313,3.480687631533875e-06,1.4244818055569917,2.3917012776017597
14,t2dControlEmergeIgnoreLab,1000,2.1811859637946593,7.699634789845237e-09,1.668170799566118,2.8519694805185765
15,t2dControlEmergeIgnoreLab,1000,1.955220797996618,1.0544861052903133e-06,1.4918694946101383,2.5624817604555545
16,t2dControlEmergeIgnoreLab,1000,1.8783847090789842,1.8385807729535274e-06,1.4489892452835638,2.4350278145862
17,t2dControlEmergeIgnoreLab,1000,1.5084515954081172,0.003020516402253734,1.1544814315621037,1.9709508992366065
18,t2dControlEmergeIgnoreLab,1000,1.9274650092746501,8.189704796793095e-07,1.4834382800942738,2.5043990112901935
19,t2dControlEmergeIgnoreLab,1000,1.79136690647482,1.7226758026383112e-05,1.3738155798577802,2.3358269047621136
