,control,samp_size,OR,p_value,ci95_lower,ci95_upper
0,t2dControlEmerge,1000,1.3858620157431703,0.012895707653576113,1.0774120541710166,1.782617448212499
1,t2dControlEmerge,1000,1.5411255411255411,0.0013122190901996016,1.187783059360765,1.999580575587339
2,t2dControlEmerge,1000,1.199860966284324,0.16645909223141647,0.9371380572705038,1.536237192848515
3,t2dControlEmerge,1000,1.1980758347481608,0.18986815648793226,0.9260110747920343,1.5500740162636446
4,t2dControlEmerge,1000,1.2220591642851626,0.14667635675907587,0.942847135148577,1.583956237803077
5,t2dControlEmerge,1000,1.3476567932137393,0.02666159561246697,1.0420772813110146,1.7428446669619815
6,t2dControlEmerge,1000,1.343910917777406,0.023083458622267853,1.0478217022932337,1.7236678253261395
7,t2dControlEmerge,1000,1.2063305978898007,0.17064317557041941,0.9334671067707025,1.5589553192072199
8,t2dControlEmerge,1000,1.161526098579378,0.24527473524087867,0.9135957801478556,1.476739392844707
9,t2dControlEmerge,1000,1.1710878621716183,0.23278626471067498,0.9151238304755731,1.4986461233481096
10,t2dControlEmerge,1000,1.787639455341922,6.170805114313614e-06,1.389995372583167,2.2990398999360426
11,t2dControlEmerge,1000,1.2380874191323765,0.08955633251138703,0.9754719647628425,1.5714039078371038
12,t2dControlEmerge,1000,1.0893742179755928,0.5328966446327302,0.8529902466735003,1.3912658338333643
13,t2dControlEmerge,1000,1.0,1.0,0.781802581595922,1.2790952902184893
14,t2dControlEmerge,1000,1.0586166471277842,0.7020021717868328,0.8243828181485161,1.3594038848274224
15,t2dControlEmerge,1000,1.196279228537293,0.16996772540482658,0.9362613598436986,1.52850908304994
16,t2dControlEmerge,1000,1.124994419891969,0.3993601832973811,0.8722810021741569,1.450922858154122
17,t2dControlEmerge,1000,1.1986491855383392,0.167635539008338,0.936839959615586,1.5336235984012359
18,t2dControlEmerge,1000,1.1786735277301315,0.22349215320421456,0.9164336518760131,1.5159540269258394
19,t2dControlEmerge,1000,1.339474456840869,0.02385897127042468,1.0458554559884,1.7155256113604307
20,t2dControlEmerge,1000,1.3559652278177459,0.019355934298623617,1.0567373646834732,1.7399230504180814
21,t2dControlEmerge,1000,1.2062040523578985,0.16047226602743853,0.9387225382800013,1.5499022944420273
22,t2dControlEmerge,1000,1.331081975897232,0.02998418773694378,1.0349511369625644,1.7119448090645157
23,t2dControlEmerge,1000,1.162340436439447,0.25765631615973755,0.9080169457708458,1.4878965601630991
24,t2dControlEmerge,1000,1.4117970036865637,0.008737187855649017,1.0964921135821968,1.8177702830043614
25,t2dControlEmerge,1000,1.4596322941646682,0.003990997749892603,1.1330982913603935,1.880266213807905
26,t2dControlEmerge,1000,1.2242162162162162,0.13462000645596756,0.9479271930226478,1.581034234567992
27,t2dControlEmerge,1000,1.178793239733504,0.23660599635191049,0.9104715911041332,1.526190949413689
28,t2dControlEmerge,1000,1.5612666902989483,0.00048145838001402853,1.2189040627533392,1.9997912491414043
29,t2dControlEmerge,1000,1.4949710936881286,0.0019368396722976005,1.1635033120379057,1.9208699690321696
30,t2dControlEmerge,1000,1.3973901632072159,0.008913320212559018,1.0927466307956974,1.7869643458030249
31,t2dControlEmerge,1000,1.2938388625592416,0.05341493267532048,1.0040510725609386,1.6672647916194403
32,t2dControlEmerge,1000,1.1362223830403133,0.3435462055965305,0.8867988303783122,1.4557995111146704
33,t2dControlEmerge,1000,1.2213651418014013,0.12134210181490185,0.9573274064462582,1.558226370166388
34,t2dControlEmerge,1000,1.3078847356520902,0.044955018545999106,1.0136678406105457,1.687498027678815
35,t2dControlEmerge,1000,1.0302105676565663,0.8548385462983166,0.81111639956833,1.3084852115875072
36,t2dControlEmerge,1000,1.3932853717026379,0.011099629110413706,1.0842917800300536,1.7903337116018256
37,t2dControlEmerge,1000,1.2661343978709247,0.06923340064964098,0.9894914044189413,1.6201215152680921
38,t2dControlEmerge,1000,1.4491017964071857,0.004820058110145662,1.1246244994412289,1.8671974667045477
39,t2dControlEmerge,1000,1.3610108303249098,0.01706990718588755,1.0624761902379758,1.7434277561051106
40,t2dControlEmerge,1000,1.2479728221786892,0.0783002430196416,0.9829076448675418,1.5845193320340136
41,t2dControlEmerge,1000,1.4462998949335664,0.003635755641877797,1.1323507177542396,1.8472928513114966
42,t2dControlEmerge,1000,1.0729512847531815,0.6169217600382906,0.8396081143590359,1.3711449898651331
43,t2dControlEmerge,1000,1.6141311579442983,0.00020347711369678113,1.2563806929299821,2.07374994673832
44,t2dControlEmerge,1000,1.4322292694385719,0.005007587025605206,1.119253983066625,1.8327213583964912
45,t2dControlEmerge,1000,1.2981171646053162,0.047551830967553776,1.0092013268732158,1.6697443098532927
46,t2dControlEmerge,1000,1.2509755663142215,0.07163530760946712,0.9878459096931796,1.58419430820061
47,t2dControlEmerge,1000,0.9277456647398844,0.6056955758556613,0.7202910899047302,1.1949502506791987
48,t2dControlEmerge,1000,1.162340436439447,0.25765631615973755,0.9080169457708458,1.4878965601630991
49,t2dControlEmerge,1000,1.3975041243148316,0.0072875036089032705,1.0984203200235785,1.7780240786469057
50,t2dControlEmerge,1000,1.361087510620221,0.0265352290337578,1.0438838515153797,1.774679442427466
51,t2dControlEmerge,1000,1.3341775714084705,0.02284725906217854,1.046934112655256,1.7002309606044368
52,t2dControlEmerge,1000,1.1536137637932358,0.28438418889082295,0.9009271863039536,1.4771723356167021
